스테이지,기존_TASK,측정_TASK_ID,측정_TASK명,주체,주요_시스템,주요_불합리,근거상태,월_수행횟수_N,평균_실작업분_T,평균_경과대기분,평균_투입인원_P,재작업률_R,평균_재작업분_Tr,전체_대상수,상태확인_가능대상수,판단필요_Parameter수,동시표시_Parameter수,시간당_총인건비,월_총인시,월_인건비,비고
기준수립,T-01,C-01,Model별 센서 목록 확보,PCS기술팀,EES,P4,문서공백,,,,,,,,,,,,,,
기준수립,T-01,C-02,센서별 Spec 설정,PCS기술팀,EES,P4,원문활동,,,,,,,,,,,,,,
기준수립,T-01,C-03,Warning Alarm EMO 등급 부여,PCS기술팀,EES,P4,문서공백,,,,,,,,,,,,,,
기준수립,T-02,C-04,BM 및 WO 이력 추출,PCS기술팀,G-EMS,P1,원문활동,,,,,,,,,,,,,,
기준수립,T-02,C-05,고장 전 센서 Trend 정렬 및 상관분석,PCS기술팀,EES,P1/P5,원문활동,,,,,,,,,,,,,,
기준수립,T-02,C-06,부품별 TBM 주기 확정,PCS기술팀,G-EMS/EES,P4/P5,문서공백,,,,,,,,,,,,,,
기준수립,T-03,C-07,SBO 룰 조건 초안 작성,PCS기술팀,EES(SBO),P4,원문활동,,,,,,,,,,,,,,
기준수립,T-03,C-08,기존 룰 충돌 및 누락 검토,PCS기술팀,EES(SBO),P4/P10,확인필요,,,,,,,,,,,,,,
기준수립,T-03,C-09,룰 등록 승인 및 버전관리,PCS기술팀,EES(SBO),P7/P10,확인필요,,,,,,,,,,,,,,
감시수취,T-04,M-01,ACS Warning 및 Alarm 이벤트 수신,협력사,ACS 2.0/EES,P2/P3,사용자확인,,,,,,,,,,,,,,
감시수취,T-04,M-02,G-EMS 자동 WO(SBO) 목록 대조,협력사,G-EMS,P1/P7,원문활동,,,,,,,,,,,,,,
감시수취,T-04,M-03,자동 WO 수취 및 담당 배정,협력사,G-EMS,P7,원문활동,,,,,,,,,,,,,,
감시수취,T-04,M-04,TBM 주기 도래 확인,협력사,G-EMS,P1/P4,문서공백,,,,,,,,,,,,,,
감시수취,T-05,M-05,Daily 체크리스트 점검 수행,PCS감독관,체크리스트,P8,원문활동,,,,,,,,,,,,,,
감시수취,T-05,M-06,Daily 결과 기록 및 이상 인계,PCS감독관,체크리스트/확인필요,P6/P7,문서공백,,,,,,,,,,,,,,
1차판정,G-01,D-01,현재 압력 및 온도 조회,협력사,EES,P1/P2/P3,사용자확인,,,,,,,,,,,,,,
1차판정,G-01,D-02,대상 Model의 적용 Spec 조회 및 매핑,협력사,EES,P4,문서공백,,,,,,,,,,,,,,
1차판정,G-02,D-03,최근 Alarm 이력 및 빈도 조회,협력사,EES/ACS 2.0,P1/P4,문서공백,,,,,,,,,,,,,,
현장점검,T-06,F-01,감지항목별 현장 점검지시 준비,협력사/PCS기술팀,체크리스트,P4/P5,확인필요,,,,,,,,,,,,,,
현장점검,T-06,F-02,Scrubber Leak 육안 및 측정 확인,협력사,현장측정,P8,원문활동,,,,,,,,,,,,,,
현장점검,T-06,F-03,Scrubber Parts 동작상태 확인,협력사,현장측정,P8,원문활동,,,,,,,,,,,,,,
현장점검,T-07,F-04,Alarm별 점검 배관 구간 선택,협력사,계통도/체크리스트,P4/P5,문서공백,,,,,,,,,,,,,,
현장점검,T-07,F-05,P-S S-S Allbypass S-D 구간 점검,협력사,현장측정,P8,원문활동,,,,,,,,,,,,,,
현장점검,G-03,F-06,현장 점검 결과 구조화 입력,협력사,체크리스트/확인필요,P6,확인필요,,,,,,,,,,,,,,
현장점검,G-03,F-07,정밀작업 필요 건 PCS 보고 및 인계,협력사/PCS기술팀,보고채널/확인필요,P7,원문활동,,,,,,,,,,,,,,
종합분석,T-08,A-01,분석 대상 및 비교 기간 정렬,PCS기술팀,FDC/EES/iEES,P1,원문활동,,,,,,,,,,,,,,
종합분석,T-08,A-02,FDC 연관설비 Trend 조회,PCS기술팀,FDC,P1/P2/P3,원문활동,,,,,,,,,,,,,,
